pm25,pm10,no2,so2,co,o3,AQI
78.24,117.675,64.0,9.0,13.0,2.0,165.46
52.391999999999996,126.35,39.0,2.0,27.0,1.5,195.62533333333337
100.16,123.15,36.0,1.0,7.0,1.0,221.6106666666667
101.55999999999999,115.15,39.25,3.5,6.375,1.125,249.092
112.0,97.15,62.0,21.0,2.0,2.0,265.636
115.2,79.675,61.0,12.0,8.0,5.0,282.18000000000006
116.6,60.4,63.0,18.0,7.0,3.0,281.74
111.6,49.0,65.0,13.0,8.0,2.0,272.28000000000003
106.6,44.4,70.0,7.0,6.0,3.0,261.28000000000003
106.6,48.2,76.0,6.0,6.0,2.0,256.66
107.4,52.0,76.0,9.0,1.0,1.0,260.40000000000003
110.0,55.8,81.0,11.0,21.0,1.0,269.64000000000004
115.0,58.4,79.0,9.0,23.0,1.0,281.62179596516603
120.0,55.4,78.0,8.0,24.0,2.0,290.2384626318327
117.83333333333333,53.93333333333334,85.0,8.0,23.0,4.0,287.7084626318328
112.7,55.0,94.0,10.0,24.0,4.0,275.91
107.56666666666665,60.2,100.0,11.0,14.0,4.0,264.6166666666666
107.56666666666665,75.0,101.0,12.0,22.5,4.0,258.9699999999999
107.56666666666665,90.8,102.0,13.0,31.0,4.0,261.3533333333333
109.73333333333332,104.86666666666665,102.0,13.0,30.0,4.0,269.38333333333327
114.86666666666665,114.4,102.0,15.0,31.0,4.0,278.0218293600554
120.0,121.2,102.0,16.0,26.0,4.0,281.3951626933887
112.8,119.6,102.0,10.0,22.0,4.0,279.1218293600554
112.8,117.8,102.0,10.0,17.0,4.0,276.24
78.96,119.4,99.0,8.0,13.0,5.0,276.24
112.8,123.2,99.0,12.0,20.0,4.0,276.24
112.8,120.2,97.0,14.0,23.0,4.0,282.15969898258635
120.0,116.4,95.0,14.0,22.0,5.0,285.90619515820595
119.6,111.4,102.0,9.0,19.0,3.0,291.20538575448114
119.2,103.2,101.0,6.0,12.0,2.0,287.92234103874597
119.2,95.0,101.0,5.0,12.0,3.0,285.618880302525
119.2,97.0,101.0,6.0,12.0,4.0,284.5155044085413
119.2,102.0,85.0,8.0,11.0,4.0,283.4597562579492
119.6,110.4,98.0,9.0,16.0,4.0,286.7122018890103
120.0,119.2,99.0,8.0,18.0,4.0,285.4060499870025
120.0,127.4,95.0,10.0,20.0,4.0,287.27704857385055
120.0,131.6,66.0,13.0,22.0,4.0,284.33671213888874
120.0,133.0,84.0,13.0,22.0,4.0,283.867505419425
120.0,131.4,72.0,12.0,20.0,4.0,284.4445152755917
120.0,133.8,71.0,13.0,22.0,4.0,285.53252025009607
120.0,137.6,67.0,11.0,16.0,4.0,287.3078304312344
120.0,142.6,61.0,13.0,19.0,4.0,287.8321889580886
120.0,153.2,55.0,13.0,22.0,16.0,286.4661417108936
120.0,163.8,57.0,17.0,26.0,17.0,283.7016286153108
120.0,169.8,78.0,21.0,37.0,17.0,284.55955801037413
120.0,175.0,61.0,19.0,30.0,17.0,284.5432911975079
120.0,180.0,56.0,19.0,34.0,17.0,287.5080465118035
120.0,180.0,68.0,22.0,40.0,17.0,287.87708308165185
120.0,174.8,69.0,21.0,37.0,17.0,292.36496433208254
120.0,169.6,71.0,21.0,35.0,17.0,291.89235475194806
120.0,164.0,72.0,15.0,26.0,17.0,291.1410311491492
120.0,154.4,78.0,15.0,27.0,17.0,286.6585858613742
120.0,144.4,70.0,8.0,28.0,16.0,285.5714690949096
120.0,134.6,29.0,11.5,33.0,17.0,282.0701551110146
120.0,124.8,13.0,15.0,38.0,17.0,282.3307099895028
120.0,116.0,46.0,14.0,19.0,17.0,285.330304013624
120.0,111.6,55.0,13.0,28.0,12.0,289.46792499266684
