date, pm25, pm10, o3, no2, co,location
2022-09-27,62,53,11,47,9,"Siddharth Nagar-Worli, Mumbai"
2022-09-28,103,48,18,42,8,"Siddharth Nagar-Worli, Mumbai"
2022-09-29,98,51,19,43,8,"Siddharth Nagar-Worli, Mumbai"
2022-09-30,106,50,10,43,10,"Siddharth Nagar-Worli, Mumbai"
2022-10-01,101,10,5,23,9,"Siddharth Nagar-Worli, Mumbai"
2022-10-02,27,27,6,42,8,"Siddharth Nagar-Worli, Mumbai"
2022-10-03,61,39,8,23,9,"Siddharth Nagar-Worli, Mumbai"
2022-10-04,82,38,21,22,10,"Siddharth Nagar-Worli, Mumbai"
2022-10-05,79,21,14,43,10,"Siddharth Nagar-Worli, Mumbai"
2022-10-06,54,26,11,23,9,"Siddharth Nagar-Worli, Mumbai"
2022-10-07,61,15,10,44,10,"Siddharth Nagar-Worli, Mumbai"
2022-10-08,38,13,4,23,9,"Siddharth Nagar-Worli, Mumbai"
2022-10-09,33,43,7,25,11,"Siddharth Nagar-Worli, Mumbai"
2022-10-10,87,40,9,43,12,"Siddharth Nagar-Worli, Mumbai"
2022-10-11,82,46,8,47,14,"Siddharth Nagar-Worli, Mumbai"
2022-10-12,97,57,5,26,15,"Siddharth Nagar-Worli, Mumbai"
2022-10-13,117,48,5,45,13,"Siddharth Nagar-Worli, Mumbai"
2022-10-14,93,48,7,25,16,"Siddharth Nagar-Worli, Mumbai"
2022-10-15,95,63,28,45,12,"Siddharth Nagar-Worli, Mumbai"
2022-10-16,119, , , , ,"Siddharth Nagar-Worli, Mumbai"
2022-10-23, ,50,4,48,16,"Siddharth Nagar-Worli, Mumbai"
2022-10-24,95,46,24,45,15,"Siddharth Nagar-Worli, Mumbai"
2022-10-25,88,55,19,45,15,"Siddharth Nagar-Worli, Mumbai"
2022-10-26,102,60,23,46,15,"Siddharth Nagar-Worli, Mumbai"
2022-10-27,114,54,23,46,14,"Siddharth Nagar-Worli, Mumbai"
2022-10-28,104,58,12,46,13,"Siddharth Nagar-Worli, Mumbai"
2022-10-29,108,50,18,48,11,"Siddharth Nagar-Worli, Mumbai"
2022-10-30,96,56,23,54,12,"Siddharth Nagar-Worli, Mumbai"
2022-10-31,109,57,26,59,12,"Siddharth Nagar-Worli, Mumbai"
2022-11-01,109,52,31,59,12,"Siddharth Nagar-Worli, Mumbai"
2022-11-02,95,51,21,61,13,"Siddharth Nagar-Worli, Mumbai"
